股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
605003.SH,众望布艺,33.85,-1.542,33.85,24.66,--,40.79,28.4,纺织服装-纺织制造-其他纺织,24.42,26.125,29.005,96025530.02,939206916.58
002001.SZ,新和成,33.61,2.500,33.62,16.45,22.85,35.67,20.5,医药生物-化学制药-化学原料药,19.19,19.6508,20.0836,2937403053.23,18749311771.24
603258.SH,电魂网络,33.48,-2.332,33.50,15.44,23.23,64.55,23.23,信息服务-传媒-其他传媒,20.0129,20.235,17.7033,309873001.51,2163559774.28
002030.SZ,达安基因,33.26,-1.714,33.26,58.89,10.25909091,51.2,10.07727273,医药生物-医疗器械服务-医疗器械Ⅲ,24,25,58,1537215950.7,3575008555.67
000951.SZ,中国重汽,33.23,-3.177,33.22,17.63,22.2,45.33,15.8,交运设备-汽车整车-商用载货车,18.3654,19.8443,21.4179,1311390309.03,8913500746.19
002803.SZ,吉宏股份,33.14,-0.421,33.13,27.31,15.47058824,49.34,15.38823529,信息服务-传媒-营销服务,28.5545,29.8009,30.3855,432888464.06,1807793786.94
300701.SZ,森霸传感,32.96,-1.992,32.96,19.99,31.85167,46.5,24.52167,电子-光学光电子-光学元件,23.91,23.44,22.61,117256468.98,633979519.31
603985.SH,恒润股份,32.81,-1.323,32.82,24.14,10.76428571,34.35,8.74285714,机械设备-通用设备-机械基础件,--,--,--,309730021.08,1395392252.95
002242.SZ,九阳股份,32.73,-1.147,32.74,16.54,24.55,45.98,23.55,家用电器-白色家电-小家电,22.6346,22.4944,21.7312,643988210.04,4000014163.4
002942.SZ,新农股份,32.54,0.092,32.54,16.64,27.93,41.49,21.2,化工-化学制品-农药,--,--,--,165714082.57,1053715951.07
688127.SH,蓝特光学,32.51,2.782,32.51,18.01,--,44.48,25.66,电子-光学光电子-光学元件,21.0867,16.05,11.7967,127861787.17,1329021268.83
605336.SH,帅丰电器,31.75,-0.564,31.75,16.09,--,38.48,29.15,家用电器-白色家电-小家电,14.78,15.765,16.325,124807918.87,1629440395.3
601865.SH,福莱特,31.71,-1.461,31.71,16.49,12.365,44.815,10.085,建筑材料-建筑材料-玻璃制造,23.0641,24.7748,20.9222,811733308.15,5576521054.7
300443.SZ,金雷股份,31.35,-3.889,31.39,16.2,14.02,39.98,11.75,机械设备-电气设备-电源设备,16.15,16.8,15.95,335993220.1,2227382232.5
600031.SH,三一重工,30.95,-1.747,30.93,24.06,16.87,32.84,13.97,机械设备-专用设备-工程机械,22.8538,25.2488,27.2091,12450341000,54901439000
300882.SZ,万胜智能,30.86,0.195,30.86,15.81,--,60,28.66,机械设备-仪器仪表-仪器仪表,--,--,--,65533491.01,790752379.7
002768.SZ,国恩股份,30.68,-2.261,30.69,24.56,23.29,60.68,21.08,化工-化工合成材料-改性塑料,19.9,22.7,27.4,664040508.73,3146102670.86
688588.SH,凌志软件,30.00,-3.168,29.95,15.58,--,54.6,27.3,信息服务-计算机应用-软件开发及服务,25.55,22.55,19.5,137745392.07,1122732518.55
300824.SZ,北鼎股份,29.78,-0.766,29.78,15.14,--,40.8,6.89,家用电器-白色家电-小家电,20.3121,19.4715,17.9962,68113448.35,628491100.05
605099.SH,共创草坪,29.13,-5.422,29.13,30.4,--,35.35,20.38,轻工制造-家用轻工-文娱用品,25.424,27.282,27.168,313866632.2,1736183541.41
002555.SZ,三七互娱,29.05,-1.157,29.04,28.78,26.52,50.78,24.5,信息服务-传媒-其他传媒,26.2146,28.5596,31.0064,2260226115.63,8382299610.61
300901.SZ,中胤时尚,28.84,1.406,28.86,20.2,--,50,27.39,纺织服装-服装家纺-鞋帽,19.92,20.04,20.07,84432260.95,460295049.26
000963.SZ,华东医药,28.77,-2.574,28.77,17.69,24.23,34.88,15.74,医药生物-化学制药-化学制剂,18.88,19.5157,20.3529,2391466604.78,14805086025.57
600438.SH,通威股份,28.69,-1.747,28.69,17.31,13.114,34.71,11.024,机械设备-电气设备-电源设备,19.9339,19.8956,20.7674,3332566062.69,25146048740.12
300246.SZ,宝莱特,28.59,0.140,28.59,45.77,15.18,49.66,14.65,医药生物-医疗器械服务-医疗器械Ⅲ,--,--,--,314873258.79,930855316.61
605007.SH,五洲特纸,28.55,1.855,28.55,21.59,--,30,12.11,轻工制造-造纸-造纸Ⅲ,--,--,--,244088795.98,1252728890.19
002299.SZ,圣农发展,28.31,-0.352,28.35,18.42,22.76,31.48,16.97,农林牧渔-养殖业-畜禽养殖,18.8442,19.0562,22.3254,1806436998.27,10518432278.62
300003.SZ,乐普医疗,28.27,-1.533,28.26,23.4,33.11,46.96,28.11,医药生物-医疗器械服务-医疗器械Ⅲ,23.8357,23.6279,23.2279,1973037244.82,10689465857.13
002624.SZ,完美世界,27.94,-1.931,27.94,17.41,29.51333333,43.16,24.64,信息服务-传媒-其他传媒,19.2111,20.0719,20.2011,1806569196.68,11791817243.8
002223.SZ,鱼跃医疗,27.81,-1.208,27.81,22.72,19.98,41.51,19.53,医药生物-医疗器械服务-医疗器械Ⅲ,17.6757,17.274,22.5293,1510192491.65,7242860262.14
002605.SZ,姚记科技,27.47,-1.893,27.47,52.08,19.24826,46,19.02826,信息服务-传媒-其他传媒,26.9436,27.1482,44.6036,984978324.31,1997028717.21
002216.SZ,三全食品,27.32,-1.691,27.32,22.89,14.29,40.38,12.15,食品饮料-食品加工制造-食品综合,18.32,20.1173,23.2782,570589506.8,2751185417.25
603505.SH,金石资源,27.24,-0.693,27.21,17,20.55,28.49,19,采掘-石油矿业开采-其他采掘Ⅲ,21.72,22.2411,21.2889,167571572.61,1022349028.47
300151.SZ,昌红科技,27.07,-3.633,27.06,15.52,8.64,28.88,6.83,机械设备-专用设备-其它专用机械,23.9,21.3,17.7,146088654.26,1041198225.46
688093.SH,世华科技,26.93,-3.164,26.93,25.8,--,32,24.17,化工-化学制品-其他化学制品,--,--,--,79102395.52,1042131828.53
603810.SH,丰山集团,26.65,-1.842,26.65,15.19,21.40285714,41.66,16.63142857,化工-化学制品-农药,20.02,23.04,24.39,180433891.27,1280731900.45
300658.SZ,延江股份,26.31,-1.865,26.31,32.27,14.7,46.9,12.85,纺织服装-纺织制造-其他纺织,--,--,--,315708865.45,1130463061.11
002884.SZ,凌霄泵业,26.00,1.088,26.01,15.07,12.50230769,33.19,11.29461538,机械设备-通用设备-其它通用机械,--,--,--,268738857.16,1872024120.17
603218.SH,日月股份,25.98,-1.553,25.99,17.69,14.77857143,28.7,11.64285714,机械设备-电气设备-电源设备,22.4617,22.745,21.3333,701699425.24,5187320904.36
600685.SH,中船防务,25.99,2.727,25.99,28.57,14.98,45.1,11.8,国防军工-国防军工-船舶制造,--,--,--,3318340727.06,17108100756.44
000876.SZ,新希望,25.86,-2.783,25.85,17.37,19.97,42.2,15.53,农林牧渔-农产品加工-饲料Ⅲ,18.893,31.4991,28.5309,5084582826.41,43792473614.48
002493.SZ,荣盛石化,25.83,-0.539,25.84,22.58,12.27,26.79,9.28,化工-化工合成材料-涤纶,25.871,25.541,23.3171,5651974576.39,64461437699.22
688129.SH,东来技术,25.72,-2.243,25.72,16.62,--,38.47,24.66,化工-化学制品-涂料油漆油墨制造,11.1,10,9.4,54809263.34,359237227.21
603466.SH,风语筑,25.70,0.078,25.70,15.36,14.93,26.76,12.35,建筑材料-建筑装饰-装饰园林,18.254,17.564,16.48,274840988.71,1908068174.03
603079.SH,圣达生物,25.58,-0.467,25.58,16.85,28.27142857,43.82142857,21.05714286,医药生物-化学制药-化学原料药,--,--,--,200406148.72,1332141508.89
300146.SZ,汤臣倍健,25.44,0.039,25.44,23.01,15.16,27.55,14.85,食品饮料-食品加工制造-食品综合,19.5091,20.0309,19.6955,1466818851.47,6923254009.21
002706.SZ,良信股份,25.41,-1.512,25.41,15.6,8.2,29.97,7.2,机械设备-电气设备-输变电设备,26.869,23.1755,18.66,318295611.67,2077909519.91
002973.SZ,侨银环保,25.31,0.676,25.31,24.49,--,31.2,6.856,公用事业-环保工程-环保工程及服务,21.42,20.7438,23.8475,293006218.77,1575899240.29
002878.SZ,元隆雅图,24.91,2.469,24.90,15.93,18.98235294,28.76470588,16.55294118,信息服务-传媒-营销服务,23.172,22.782,20.018,117720962.44,822607866.41
002214.SZ,大立科技,24.81,0.202,24.80,26.7,10.64955,32.56,10.55955,电子-其他电子-其他电子Ⅲ,23.412,23.414,26.292,338806332.81,1401462963.01
600346.SH,恒力石化,24.52,-2.584,24.51,24.5,15.66,27.6,11.54,化工-化工合成材料-涤纶,23.7696,26.0944,28.0324,9895656555.92,43672440978.39
002984.SZ,森麒麟,24.12,-1.471,24.12,18.15,--,30.03,22.66,化工-化工合成材料-轮胎,--,--,--,716040894.06,5488750656.71
